Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
GpuConvolutionReverbTooltip,GPU畳み込みリバーブツールチップ,GPUを使用して高品質な畳み込みリバーブを処理します。,Uses the GPU to process high-quality convolution reverb.,使用GPU处理高质量卷积混响。,使用GPU處理高品質摺積混響。,GPU를 사용하여 고품질 컨볼루션 리버브를 처리합니다.,Utiliza la GPU para procesar reverberación de convolución de alta calidad.,يستخدم وحدة معالجة الرسومات لمعالجة صدى الالتفاف عالي الجودة.,
EnableParallelProcessingCheckbox,並列処理有効チェックボックス,並列処理を有効にする (CPU),Enable Parallel Processing (CPU),启用并行处理 (CPU),啟用並行處理 (CPU),병렬 처리 활성화 (CPU),Habilitar Procesamiento Paralelo (CPU),تمكين المعالجة المتوازية (CPU),
EnableParallelProcessingTooltip,並列処理有効ツールチップ,CPUのマルチコアを活用して、チャンネルごとの音声処理を並列実行し、レンダリングを高速化します。,Utilizes CPU multi-cores to execute audio processing per channel in parallel, speeding up rendering.,利用CPU多核并行执行每个通道的音频处理，以加快渲染速度。,利用CPU多核心並行執行每個通道的音訊處理，以加快渲染速度。,CPU 멀티 코어를 활용하여 채널별 오디오 처리를 병렬로 실행하여 렌더링 속도를 높입니다.,Utiliza los múltiples núcleos de la CPU para ejecutar el procesamiento de audio por canal en paralelo, acelerando el renderizado.,يستخدم أنوية وحدة المعالجة المركزية المتعددة لتنفيذ معالجة الصوت لكل قناة بالتوازي ، مما يسرع العرض.,
MidiTabHeader,MIDIタブヘッダー,MIDI,MIDI,MIDI,MIDI,MIDI,MIDI,MIDI,
PlaybackSettingsGroupHeader,再生設定グループヘッダー,再生設定,Playback Settings,播放设置,播放設定,재생 설정,Configuración de Reproducción,إعدادات التشغيل,
DefaultTempoLabel,デフォルトテンポラベル,デフォルトテンポ,Default Tempo,默认速度,預設速度,기본 템포,Tempo Predeterminado,السرعة الافتراضية,
DefaultTempoTooltip,デフォルトテンポツールチップ,"MIDIファイルにテンポ情報が含まれていない場合に使用されるデフォルトのテンポです。マイクロ秒/四分音符で指定します (例: 120BPM = 500000)。","The default tempo used if the MIDI file does not contain tempo information. Specified in microseconds per quarter note (e.g., 120BPM = 500000).","MIDI 文件不包含速度信息时使用的默认速度。以微秒/四分音符指定（例如：120BPM = 500000）。","MIDI 檔案不包含速度資訊時使用的預設速度。以微秒/四分音符指定（例如：120BPM = 500000）。","MIDI 파일에 템포 정보가 없는 경우 사용되는 기본 템포입니다. 마이크로초/4분음표 단위로 지정합니다(예: 120BPM = 500000).","El tempo predeterminado utilizado si el archivo MIDI no contiene información de tempo. Especificado en microsegundos por negra (p. ej., 120 BPM = 500000).","الإيقاع الافتراضي المستخدم إذا لم يحتوي ملف MIDI على معلومات الإيقاع. محدد بالميكروثانية لكل نغمة ربعية (على سبيل المثال ، 120 نبضة في الدقيقة = 500000).",
PitchBendRangeLabel,ピッチベンド範囲ラベル,ピッチベンド範囲,Pitch Bend Range,弯音范围,滑音範圍,피치 벤드 범위,Rango de Inflexión de Tono,مدى انحناء درجة الصوت,
PitchBendRangeTooltip,ピッチベンド範囲ツールチップ,"ピッチベンドの変化範囲を半音単位で設定します。例えば、2を設定すると、ピッチベンドで±2半音の範囲で音程が変化します。","Sets the range of pitch bend in semitones. For example, setting it to 2 allows pitch bending within a range of ±2 semitones.","设置弯音范围（以半音为单位）。例如，设置为2允许在±2半音范围内弯音。","設定滑音範圍（以半音為單位）。例如，設定為2允許在±2半音範圍內滑音。","피치 벤드 범위를 반음 단위로 설정합니다. 예를 들어 2로 설정하면 ±2 반음 범위 내에서 피치가 변합니다.","Establece el rango de inflexión de tono en semitonos. Por ejemplo, establecerlo en 2 permite la inflexión de tono dentro de un rango de ±2 semitonos.","يضبط نطاق انحناء درجة الصوت بأنصاف النغمات. على سبيل المثال ، يؤدي تعيينه إلى 2 إلى السماح بانحناء درجة الصوت ضمن نطاق ± 2 نصف نغمة.",
MinVelocityLabel,最小ベロシティラベル,最小ベロシティ,Min Velocity,最小力度,最小力度,최소 벨로시티,Velocidad Mínima,أدنى سرعة,
MinVelocityTooltip,最小ベロシティツールチップ,"処理するノートの最小ベロシティです。これより小さいベロシティのノートは無視されます。音量の小さい不要なノートを除去するのに役立ちます。","The minimum velocity for notes to be processed. Notes with lower velocity will be ignored. Useful for removing unwanted low-volume notes.","处理音符的最小力度。力度低于此值的音符将被忽略。有助于移除不需要的低音量音符。","處理音符的最小力度。力度低於此值的音符將被忽略。有助於移除不需要的低音量音符。","처리할 노트의 최소 벨로시티입니다. 이보다 낮은 벨로시티의 노트는 무시됩니다. 원치 않는 작은 볼륨의 노트를 제거하는 데 유용합니다.","La velocidad mínima para procesar las notas. Las notas con menor velocidad serán ignoradas. Útil para eliminar notas no deseadas de bajo volumen.","أدنى سرعة للنوتات المراد معالجتها. سيتم تجاهل النوتات ذات السرعة الأقل. مفيد لإزالة النوتات غير المرغوب فيها ذات مستوى الصوت المنخفض.",
ProcessingSettingsGroupHeader,処理設定グループヘッダー,処理設定,Processing Settings,处理设置,處理設定,처리 설정,Configuración de Procesamiento,إعدادات المعالجة,
ProcessControlChangesCheckbox,コントロールチェンジ処理チェックボックス,コントロールチェンジを処理する,Process Control Changes,处理控制变更,處理控制變更,컨트롤 체인지 처리,Procesar Cambios de Control,معالجة تغييرات التحكم,
ProcessControlChangesTooltip,コントロールチェンジ処理ツールチップ,ボリュームやパンなどのコントロールチェンジメッセージを処理します。,Processes Control Change messages such as volume and pan.,处理控制变更消息，例如音量和声相。,處理控制變更訊息，例如音量和聲相。,볼륨 및 팬과 같은 컨트롤 체인지 메시지를 처리합니다.,Procesa mensajes de Cambio de Control como volumen y panorama.,معالجة رسائل تغيير التحكم مثل مستوى الصوت والتحريك.,
ProcessPitchBendCheckbox,ピッチベンド処理チェックボックス,ピッチベンドを処理する,Process Pitch Bend,处理弯音,處理滑音,피치 벤드 처리,Procesar Inflexión de Tono,معالجة انحناء درجة الصوت,
ProcessPitchBendTooltip,ピッチベンド処理ツールチップ,ピッチベンドメッセージを処理し、音程を滑らかに変化させます。,Processes Pitch Bend messages to smoothly change the pitch.,处理弯音消息以平滑地改变音高。,處理滑音訊息以平滑地改變音高。,피치 벤드 메시지를 처리하여 피치를 부드럽게 변경합니다.,Procesa mensajes de Inflexión de Tono para cambiar suavemente el tono.,معالجة رسائل انحناء درجة الصوت لتغيير درجة الصوت بسلاسة.,
ProcessProgramChangesCheckbox,プログラムチェンジ処理チェックボックス,プログラムチェンジを処理する,Process Program Changes,处理程序变更,處理音色變更,프로그램 체인지 처리,Procesar Cambios de Programa,معالجة تغييرات البرنامج,
ProcessProgramChangesTooltip,プログラムチェンジ処理ツールチップ,音色を切り替えるプログラムチェンジメッセージを処理します。,Processes Program Change messages to switch instrument sounds.,处理程序变更消息以切换乐器声音。,處理音色變更訊息以切換樂器聲音。,악기 소리를 전환하는 프로그램 체인지 메시지를 처리합니다.,Procesa mensajes de Cambio de Programa para cambiar los sonidos de los instrumentos.,معالجة رسائل تغيير البرنامج لتبديل أصوات الآلات.,
ExclusionSettingsGroupHeader,除外設定グループヘッダー,除外設定,Exclusion Settings,排除设置,排除設定,제외 설정,Configuración de Exclusión,إعدادات الاستبعاد,
ExcludedChannelsLabel,除外チャンネルラベル,除外チャンネル (カンマ区切り),Excluded Channels (comma separated),排除通道 (逗号分隔),排除頻道 (逗號分隔),제외 채널 (쉼표 구분),Canales Excluidos (separados por coma),القنوات المستبعدة (مفصولة بفواصل),
ExcludedChannelsTooltip,除外チャンネルツールチップ,ここで指定したMIDIチャンネルは再生時に無視されます（カンマ区切り）。,MIDI channels specified here will be ignored during playback (comma separated).,此处指定的MIDI通道将在播放时被忽略（逗号分隔）。,此處指定的MIDI頻道將在播放時被忽略（逗號分隔）。,여기에 지정된 MIDI 채널은 재생 중에 무시됩니다(쉼표 구분).,Los canales MIDI especificados aquí serán ignorados durante la reproducción (separados por coma).,سيتم تجاهل قنوات MIDI المحددة هنا أثناء التشغيل (مفصولة بفواصل).,
ExcludedTracksLabel,除外トラックラベル,除外トラック (カンマ区切り),Excluded Tracks (comma separated),排除轨道 (逗号分隔),排除音軌 (逗號分隔),제외 트랙 (쉼표 구분),Pistas Excluidas (separadas por coma),المسارات المستبعدة (مفصولة بفواصل),
ExcludedTracksTooltip,除外トラックツールチップ,ここで指定したトラックは再生時に無視されます（カンマ区切り）。,Tracks specified here will be ignored during playback (comma separated).,此处指定的轨道将在播放时被忽略（逗号分隔）。,此處指定的音軌將在播放時被忽略（逗號分隔）。,여기에 지정된 트랙은 재생 중에 무시됩니다(쉼표 구분).,Las pistas especificadas aquí serán ignoradas durante la reproducción (separadas por coma).,سيتم تجاهل المسارات المحددة هنا أثناء التشغيل (مفصولة بفواصل).,
SfzTabHeader,SFZタブヘッダー,SFZ,SFZ,SFZ,SFZ,SFZ,SFZ,SFZ,
EnableSfzCheckbox,SFZ有効チェックボックス,SFZを有効にする (SoundFontより優先),Enable SFZ (Prioritized over SoundFont),启用SFZ (优先于SoundFont),啟用SFZ (優先於SoundFont),SFZ 활성화 (SoundFont보다 우선 적용),Habilitar SFZ (Priorizado sobre SoundFont),تمكين SFZ (الأولوية على SoundFont),
EnableSfzTooltip,SFZ有効ツールチップ,"SFZ形式のサンプラー音源を使用してMIDIを再生します。有効な場合、SoundFontより優先されます。",Plays MIDI using SFZ format sampler instruments. If enabled, takes precedence over SoundFont.,使用SFZ格式的采样器音源播放MIDI。如果启用，则优先于SoundFont。,使用SFZ格式的取樣器音源播放MIDI。如果啟用，則優先於SoundFont。,SFZ 형식 샘플러 악기를 사용하여 MIDI를 재생합니다. 활성화된 경우 SoundFont보다 우선 적용됩니다.,Reproduce MIDI utilizando instrumentos de sampler en formato SFZ. Si está habilitado, tiene prioridad sobre SoundFont.,تشغيل MIDI باستخدام أدوات أخذ العينات بتنسيق SFZ. إذا تم تمكينه ، فإنه يأخذ الأسبقية على SoundFont.,
SfzSettingsGroupHeader,SFZ設定グループヘッダー,"設定 (ダブルクリックで編集)",Settings (Double-click to edit),设置 (双击编辑),設定 (按兩下編輯),설정 (더블 클릭하여 편집),Configuración (Doble clic para editar),الإعدادات (انقر نقرًا مزدوجًا للتحرير),
SfzSearchPathLabel,SFZ検索パスラベル,SFZ 検索フォルダ:,SFZ Search Folder:,SFZ 搜索文件夹：,SFZ 搜尋資料夾：,SFZ 검색 폴더:,Carpeta de Búsqueda SFZ:,مجلد البحث عن SFZ:,
SfzSearchPathTooltip,SFZ検索パスツールチップ,SFZファイルを検索するフォルダのパスを指定します。,Specify the path to the folder to search for SFZ files.,指定搜索SFZ文件的文件夹路径。,指定搜尋SFZ檔案的資料夾路徑。,SFZ 파일을 검색할 폴더 경로를 지정합니다.,Especifique la ruta a la carpeta para buscar archivos SFZ.,حدد مسار المجلد للبحث عن ملفات SFZ.,
SfzListStatusHeader,SFZリストステータスヘッダー,状態,Status,状态,狀態,상태,Estado,الحالة,
SfzListFilePathHeader,SFZリストファイルパスヘッダー,SFZ ファイルパス,SFZ File Path,SFZ 文件路径,SFZ 檔案路徑,SFZ 파일 경로,Ruta del Archivo SFZ,مسار ملف SFZ,
SfzListProgramNumberHeader,SFZリストプログラム番号ヘッダー,プログラム番号,Program Number,程序号,程式編號,프로그램 번호,Número de Programa,رقم البرنامج,
SoundFontTabHeader,SoundFontタブヘッダー,SoundFont,SoundFont,SoundFont,SoundFont,SoundFont,SoundFont,SoundFont,
EnableSoundFontCheckbox,SoundFont有効チェックボックス,SoundFontを有効にする,Enable SoundFont,启用SoundFont,啟用SoundFont,SoundFont 활성화,Habilitar SoundFont,تمكين SoundFont,
EnableSoundFontTooltip,SoundFont有効ツールチップ,SoundFont（.sf2）ファイルを使用してMIDIを再生します。,Plays MIDI using SoundFont (.sf2) files.,使用SoundFont (.sf2) 文件播放MIDI。,使用SoundFont (.sf2) 檔案播放MIDI。,SoundFont (.sf2) 파일을 사용하여 MIDI를 재생합니다.,Reproduce MIDI utilizando archivos SoundFont (.sf2).,تشغيل MIDI باستخدام ملفات SoundFont (.sf2).,
SoundFontBasicSettingsGroupHeader,SoundFont基本設定グループヘッダー,基本設定,Basic Settings,基本设置,基本設定,기본 설정,Configuración Básica,الإعدادات الأساسية,
UseDefaultSoundFontCheckbox,デフォルトSoundFont使用チェックボックス,デフォルトのSoundFontを使用する,Use default SoundFont,使用默认SoundFont,使用預設SoundFont,기본 SoundFont 사용,Usar SoundFont predeterminado,استخدام SoundFont الافتراضي,
UseDefaultSoundFontTooltip,デフォルトSoundFont使用ツールチップ,プラグインに同梱されているデフォルトのSoundFont (GeneralUser-GS.sf2) を使用します。,Uses the default SoundFont (GeneralUser-GS.sf2) included with the plugin.,使用插件附带的默认SoundFont (GeneralUser-GS.sf2)。,使用外掛程式附帶的預設SoundFont (GeneralUser-GS.sf2)。,플러그인에 포함된 기본 SoundFont(GeneralUser-GS.sf2)를 사용합니다.,Utiliza el SoundFont predeterminado (GeneralUser-GS.sf2) incluido con el complemento.,يستخدم SoundFont الافتراضي (GeneralUser-GS.sf2) المضمن مع المكون الإضافي.,
FallbackToSynthesisCheckbox,シンセシスへフォールバックチェックボックス,SoundFontがない場合シンセシスにフォールバックする,Fallback to synthesis if SoundFont is not found,如果找不到SoundFont，则回退到合成,如果找不到SoundFont，則回退到合成,SoundFont가 없는 경우 신디사이저로 대체,Retroceder a la síntesis si no se encuentra SoundFont,الرجوع إلى التوليف إذا لم يتم العثور على SoundFont,
FallbackToSynthesisTooltip,シンセシスへフォールバックツールチップ,適切なSoundFontが見つからない場合に、内蔵シンセサイザーでの再生に切り替えます。,Switches to playback with the built-in synthesizer if a suitable SoundFont is not found.,如果找不到合适的SoundFont，则切换到使用内置合成器播放。,如果找不到合適的SoundFont，則切換到使用內建合成器播放。,적절한 SoundFont를 찾을 수 없는 경우 내장 신디사이저로 재생하도록 전환합니다.,Cambia a la reproducción con el sintetizador incorporado si no se encuentra un SoundFont adecuado.,التبديل إلى التشغيل باستخدام المركب المدمج إذا لم يتم العثور على SoundFont مناسب.,
SoundFontDirectoryLabel,SoundFontディレクトリラベル,SoundFontディレクトリ,SoundFont Directory,SoundFont 目录,SoundFont 目錄,SoundFont 디렉토리,Directorio de SoundFont,دليل SoundFont,
SoundFontDirectoryTooltip,SoundFontディレクトリツールチップ,ユーザーが追加したSoundFontファイルを格納するディレクトリのパスです。,The path to the directory containing user-added SoundFont files.,包含用户添加的SoundFont文件的目录路径。,包含使用者新增的SoundFont檔案的目錄路徑。,사용자가 추가한 SoundFont 파일을 포함하는 디렉토리 경로입니다.,La ruta al directorio que contiene los archivos SoundFont agregados por el usuario.,المسار إلى الدليل الذي يحتوي على ملفات SoundFont التي أضافها المستخدم.,
PreferredSoundFontLabel,優先SoundFontファイル名ラベル,優先SoundFontファイル名,Preferred SoundFont Filename,首选SoundFont文件名,偏好的SoundFont檔案名,선호하는 SoundFont 파일 이름,Nombre de Archivo SoundFont Preferido,اسم ملف SoundFont المفضل,
PreferredSoundFontTooltip,優先SoundFontファイル名ツールチップ,ルールに一致しない場合でも優先的に使用するSoundFontファイル名を指定します。,Specify the SoundFont filename to prioritize even if it doesn't match the rules.,指定即使不符合规则也要优先使用的SoundFont文件名。,指定即使不符合規則也要優先使用的SoundFont檔案名。,규칙과 일치하지 않더라도 우선적으로 사용할 SoundFont 파일 이름을 지정합니다.,Especifique el nombre de archivo SoundFont para priorizar incluso si no coincide con las reglas.,حدد اسم ملف SoundFont لإعطائه الأولوية حتى لو لم يتطابق مع القواعد.,
SoundFontLayersGroupHeader,SoundFontレイヤーグループヘッダー,"SoundFontレイヤー (重ねて使用、上から順に優先)","SoundFont Layers (Used stacked, prioritized from top)",SoundFont 层 (堆叠使用，从上到下优先),SoundFont 圖層 (堆疊使用，由上至下優先),SoundFont 레이어 (겹쳐 사용, 위에서부터 우선 적용),Capas de SoundFont (Usadas apiladas, priorizadas desde arriba),طبقات SoundFont (تستخدم مكدسة ، مع إعطاء الأولوية من الأعلى),
LayerUpButtonTooltip,レイヤー上へ移動ボタンツールチップ,レイヤーを上に移動します。,Moves the layer up.,将层向上移动。,將圖層向上移動。,레이어를 위로 이동합니다.,Mueve la capa hacia arriba.,تحريك الطبقة لأعلى.,
LayerDownButtonTooltip,レイヤー下へ移動ボタンツールチップ,レイヤーを下に移動します。,Moves the layer down.,将层向下移动。,將圖層向下移動。,레이어를 아래로 이동합니다.,Mueve la capa hacia abajo.,تحريك الطبقة لأسفل.,
RemoveLayerButtonTooltip,レイヤー削除ボタンツールチップ,選択したレイヤーを削除します。,Removes the selected layer.,移除选定的层。,移除選定的圖層。,선택한 레이어를 제거합니다.,Elimina la capa seleccionada.,إزالة الطبقة المحددة.,
AddLayerButton,レイヤー追加ボタン,レイヤーに追加,Add to Layer,添加到层,新增至圖層,레이어에 추가,Añadir a Capa,إضافة إلى طبقة,
SoundFontListGroupHeader,SoundFontリストグループヘッダー,"利用可能なSoundFontとルール (ダブルクリックで編集)","Available SoundFonts and Rules (Double-click to edit)",可用SoundFont和规则 (双击编辑),可用的SoundFont和規則 (按兩下編輯),사용 가능한 SoundFont 및 규칙 (더블 클릭하여 편집),"SoundFonts y Reglas Disponibles (Doble clic para editar)",ملفات SoundFont والقواعد المتاحة (انقر نقرًا مزدوجًا للتحرير),
SoundFontListStatusHeader,SoundFontリストステータスヘッダー,状態,Status,状态,狀態,상태,Estado,الحالة,
SoundFontListFileNameHeader,SoundFontリストファイル名ヘッダー,SoundFontファイル,SoundFont File,SoundFont 文件,SoundFont 檔案,SoundFont 파일,Archivo SoundFont,ملف SoundFont,
SoundFontListMinDurationHeader,SoundFontリスト最小時間ヘッダー,最小時間(s),Min Duration(s),最短时间(秒),最短時間(秒),최소 시간(초),Duración Mín.(s),الحد الأدنى للمدة (ث),
SoundFontListMaxDurationHeader,SoundFontリスト最大時間ヘッダー,最大時間(s),Max Duration(s),最长时间(秒),最長時間(秒),최대 시간(초),Duración Máx.(s),الحد الأقصى للمدة (ث),
SoundFontListMinTracksHeader,SoundFontリスト最小トラックヘッダー,最小トラック,Min Tracks,最小轨道,最小音軌,최소 트랙,Pistas Mín.,الحد الأدنى للمسارات,
SoundFontListMaxTracksHeader,SoundFontリスト最大トラックヘッダー,最大トラック,Max Tracks,最大轨道,最大音軌,최대 트랙,Pistas Máx.,الحد الأقصى للمسارات,
SoundFontListRequiredProgramsHeader,SoundFontリスト必須プログラムヘッダー,必須プログラム,Required Programs,必需程序,必需程式,필수 프로그램,Programas Requeridos,البرامج المطلوبة,
SynthesisTabHeader,シンセシスタブヘッダー,シンセシス,Synthesis,合成,合成,신디사이저,Síntesis,التركيب,
SynthesisBasicSettingsGroupHeader,シンセシス基本設定グループヘッダー,基本設定,Basic Settings,基本设置,基本設定,기본 설정,Configuración Básica,الإعدادات الأساسية,
DefaultWaveformLabel,デフォルト波形ラベル,デフォルト波形,Default Waveform,默认波形,預設波形,기본 파형,Forma de Onda Predeterminada,الشكل الموجي الافتراضي,
DefaultWaveformTooltip,デフォルト波形ツールチップ,音色の基本となる波形の種類を選択します。,Select the basic waveform type for the timbre.,选择音色的基本波形类型。,選擇音色的基本波形類型。,음색의 기본 파형 유형을 선택합니다.,Seleccione el tipo de forma de onda básica para el timbre.,حدد نوع الشكل الموجي الأساسي للجرس.,
WavetableDirectoryLabel,Wavetableフォルダラベル,Wavetableフォルダ,Wavetable Folder,Wavetable 文件夹,Wavetable 資料夾,Wavetable 폴더,Carpeta Wavetable,مجلد Wavetable,
WavetableDirectoryTooltip,Wavetableフォルダツールチップ,ユーザー定義のWAVファイルを配置するフォルダ,Folder to place user-defined WAV files.,放置用户定义的WAV文件的文件夹。,放置使用者定義的WAV檔案的資料夾。,사용자 정의 WAV 파일을 배치할 폴더입니다.,Carpeta para colocar archivos WAV definidos por el usuario.,المجلد لوضع ملفات WAV المعرفة من قبل المستخدم.,
A4FrequencyLabel,A4周波数ラベル,A4周波数 (Hz),A4 Frequency (Hz),A4 频率 (Hz),A4 頻率 (Hz),A4 주파수 (Hz),Frecuencia A4 (Hz),تردد A4 (هرتز),
A4FrequencyTooltip,A4周波数ツールチップ,基準音となるA4（ラ）の周波数を設定します。現代の標準は440Hzですが、古楽などでは異なる値が使われます。,Sets the frequency of the reference note A4 (La). The modern standard is 440Hz, but different values are used in early music, etc.,设置参考音A4（La）的频率。现代标准为440Hz，但在古乐等领域会使用不同的值。,設定參考音A4（La）的頻率。現代標準為440Hz，但在古樂等領域會使用不同的值。,기준음 A4(라)의 주파수를 설정합니다. 현대 표준은 440Hz이지만 고음악 등에서는 다른 값이 사용됩니다.,Establece la frecuencia de la nota de referencia A4 (La). El estándar moderno es 440 Hz, pero se utilizan valores diferentes en música antigua, etc.,يضبط تردد النغمة المرجعية A4 (La). المعيار الحديث هو 440 هرتز ، ولكن يتم استخدام قيم مختلفة في الموسيقى المبكرة ، وما إلى ذلك.,
MinFrequencyLabel,最小周波数ラベル,最小周波数 (Hz),Min Frequency (Hz),最小频率 (Hz),最小頻率 (Hz),최소 주파수 (Hz),Frecuencia Mínima (Hz),أدنى تردد (هرتز),
MinFrequencyTooltip,最小周波数ツールチップ,生成する音声の周波数の下限です。これを超える周波数はクリップされます。,The lower limit of the frequency of the generated audio. Frequencies below this will be clipped.,生成音频频率的下限。低于此频率将被削波。,生成音訊頻率的下限。低於此頻率將被削波。,생성되는 오디오 주파수의 하한입니다. 이보다 낮은 주파수는 클리핑됩니다.,El límite inferior de la frecuencia del audio generado. Las frecuencias por debajo de este límite serán recortadas.,الحد الأدنى لتردد الصوت الذي تم إنشاؤه. سيتم قص الترددات التي تقل عن هذا.,
MaxFrequencyLabel,最大周波数ラベル,最大周波数 (Hz),Max Frequency (Hz),最大频率 (Hz),最大頻率 (Hz),최대 주파수 (Hz),Frecuencia Máxima (Hz),أقصى تردد (هرتز),
MaxFrequencyTooltip,最大周波数ツールチップ,生成する音声の周波数の上限です。これを超える周波数はクリップされます。,The upper limit of the frequency of the generated audio. Frequencies above this will be clipped.,生成音频频率的上限。高于此频率将被削波。,生成音訊頻率的上限。高於此頻率將被削波。,생성되는 오디오 주파수의 상한입니다. 이보다 높은 주파수는 클리핑됩니다.,El límite superior de la frecuencia del audio generado. Las frecuencias por encima de este límite serán recortadas.,الحد الأعلى لتردد الصوت الذي تم إنشاؤه. سيتم قص الترددات التي تزيد عن هذا.,
EnvelopeScaleLabel,エンベロープスケールラベル,エンベロープスケール,Envelope Scale,包络比例,波封比例,엔벨로프 스케일,Escala de Envolvente,مقياس المغلف,
EnvelopeScaleTooltip,エンベロープスケールツールチップ,ADSRエンベロープ（音の立ち上がりや減衰）の時間的なスケールを調整します。1より大きいと長くなり、小さいと短くなります。,Adjusts the time scale of the ADSR envelope (attack, decay, sustain, release). Values greater than 1 make it longer, smaller values make it shorter.,调整ADSR包络（起音、衰减、持续、释放）的时间刻度。大于1的值使其更长，小于1的值使其更短。,調整ADSR波封（起音、衰減、持續、釋放）的時間刻度。大於1的值使其更長，小於1的值使其更短。,ADSR 엔벨로프(어택, 디케이, 서스테인, 릴리스)의 시간 스케일을 조정합니다. 1보다 크면 길어지고, 작으면 짧아집니다.,Ajusta la escala de tiempo de la envolvente ADSR (ataque, decaimiento, sostenido, liberación). Los valores mayores que 1 la hacen más larga, los valores menores la hacen más corta.,يضبط مقياس الوقت لمغلف ADSR (الهجوم ، الاضمحلال ، الاستدامة ، التحرير). القيم الأكبر من 1 تجعله أطول ، والقيم الأصغر تجعله أقصر.,
DefaultEnvelopeGroupHeader,デフォルトエンベロープグループヘッダー,デフォルトエンベロープ,Default Envelope,默认包络,預設波封,기본 엔벨로프,Envolvente Predeterminada,المغلف الافتراضي,
DefaultEnvelopeTooltip,デフォルトエンベロープツールチップ,音の時間的な変化（ADSR）のデフォルト値を設定します。,Sets the default values for the temporal change of sound (ADSR).,设置声音时间变化（ADSR）的默认值。,設定聲音時間變化（ADSR）的預設值。,소리의 시간적 변화(ADSR)의 기본값을 설정합니다.,Establece los valores predeterminados para el cambio temporal del sonido (ADSR).,يضبط القيم الافتراضية للتغير الزمني للصوت (ADSR).,
AttackLabel,アタックラベル,アタック,Attack,起音,起音,어택,Ataque,الهجوم,
AttackTooltip,アタックツールチップ,音が鳴り始めてから最大音量に達するまでの時間（秒）。,Time (in seconds) from the start of the sound until it reaches maximum volume.,声音从开始到达到最大音量所需的时间（秒）。,聲音從開始到達到最大音量所需的時間（秒）。,소리가 시작된 후 최대 볼륨에 도달할 때까지의 시간(초).,Tiempo (en segundos) desde el inicio del sonido hasta que alcanza el volumen máximo.,الوقت (بالثواني) من بداية الصوت حتى يصل إلى أقصى مستوى صوت.,
DecayLabel,ディケイラベル,ディケイ,Decay,衰减,衰減,디케이,Decaimiento,الاضمحلال,
DecayTooltip,ディケイツールチップ,最大音量からサステインレベルまで減衰する時間（秒）。,Time (in seconds) to decay from maximum volume to the sustain level.,从最大音量衰减到持续音量水平所需的时间（秒）。,從最大音量衰減到持續音量水準所需的時間（秒）。,최대 볼륨에서 서스테인 레벨까지 감쇠하는 시간(초).,Tiempo (en segundos) para decaer desde el volumen máximo hasta el nivel de sostenido.,الوقت (بالثواني) للاضمحلال من أقصى مستوى صوت إلى مستوى الاستدامة.,
SustainLabel,サステインラベル,サステイン,Sustain,持续音量,持續音量,서스테인,Sostenido,الاستدامة,
SustainTooltip,サステインツールチップ,ノートが押されている間の音量レベル (0-1)。,The volume level while the note is held (0-1).,音符被按住期间的音量水平 (0-1)。,音符被按住期間的音量水準 (0-1)。,노트가 눌려 있는 동안의 볼륨 레벨 (0-1).,El nivel de volumen mientras se mantiene la nota (0-1).,مستوى الصوت أثناء الضغط على النوتة (0-1).,
ReleaseLabel,リリースラベル,リリース,Release,释放,釋放,릴리스,Liberación,التحرير,
ReleaseTooltip,リリースツールチップ,ノートが離されてから音が消えるまでの時間（秒）。,Time (in seconds) for the sound to fade out after the note is released.,音符释放后声音消失所需的时间（秒）。,音符釋放後聲音消失所需的時間（秒）。,노트에서 손을 뗀 후 소리가 사라질 때까지의 시간(초).,Tiempo (en segundos) para que el sonido se desvanezca después de soltar la nota.,الوقت (بالثواني) حتى يتلاشى الصوت بعد تحرير النوتة.,
FmSourceGroupHeader,FM音源グループヘッダー,FM音源,FM Source,FM 音源,FM 音源,FM 음원,Fuente FM,مصدر FM,
FmSourceTooltip,FM音源ツールチップ,FM音源方式のシンセサイズに関する設定です。,Settings related to FM synthesis method.,与FM合成方法相关的设置。,與FM合成方法相關的設定。,FM 음원 방식 합성에 관한 설정입니다.,Configuraciones relacionadas con el método de síntesis FM.,الإعدادات المتعلقة بطريقة توليف FM.,
ModulatorFrequencyLabel,変調周波数ラベル,変調周波数 (Hz),Modulator Frequency (Hz),调制频率 (Hz),調變頻率 (Hz),변조 주파수 (Hz),Frecuencia del Modulador (Hz),تردد المُعدِّل (هرتز),
ModulatorFrequencyTooltip,変調周波数ツールチップ,FM合成における変調波の周波数です。音色を複雑にします。,The frequency of the modulating wave in FM synthesis. Makes the timbre more complex.,FM 合成中调制波的频率。使音色更复杂。,FM 合成中調變波的頻率。使音色更複雜。,FM 합성에서 변조 파형의 주파수입니다. 음색을 복잡하게 만듭니다.,La frecuencia de la onda moduladora en la síntesis FM. Hace que el timbre sea más complejo.,تردد الموجة المُعدِّلة في توليف FM. يجعل الجرس أكثر تعقيدًا.,
ModulationIndexLabel,変調指数ラベル,変調指数,Modulation Index,调制指数,調變指數,변조 지수,Índice de Modulación,معامل التعديل,
